,Threshold,threshold,accuracy_value
0,Q1_0,0.016925056025229153,0.4409090909090909
1,Q2_0,0.0258348267190809,0.625
2,Q3_0,0.041770701853978,0.7795454545454545
3,upper_bound_0,0.07903917059710128,0.8545454545454545
4,lower_bound_0,-0.020343412717894117,0.25681818181818183
5,Q1_1,0.0589419310386748,0.8613636363636363
6,Q2_1,0.0838985461696607,0.85
7,Q3_1,0.1376121876780209,0.8045454545454546
8,upper_bound_1,0.25561757263704,0.7659090909090909
9,lower_bound_1,-0.05906345392034433,0.25681818181818183
