,Threshold,threshold,accuracy_value
0,Q1_0,0.017304122749999998,0.45217391304347826
1,Q2_0,0.0281056982334421,0.5956521739130435
2,Q3_0,0.041130491500000005,0.7347826086956522
3,upper_bound_0,0.07687004462500002,0.8391304347826087
4,lower_bound_0,-0.018435430375000013,0.2782608695652174
5,Q1_1,0.038630727999999996,0.717391304347826
6,Q2_1,0.07172578600000001,0.8478260869565217
7,Q3_1,0.149887536,0.7913043478260869
8,upper_bound_1,0.316772748,0.7217391304347827
9,lower_bound_1,-0.12825448399999997,0.2782608695652174
