,Threshold,threshold,accuracy_value
0,Q1_0,3.1925000000000004e-05,0.3521739130434783
1,Q2_0,0.00010404500000000001,0.43478260869565216
2,Q3_0,0.00036269375,0.5347826086956522
3,upper_bound_0,0.000858846875,0.6391304347826087
4,lower_bound_0,-0.00046422812499999995,0.33043478260869563
5,Q1_1,1.465e-05,0.3391304347826087
6,Q2_1,4.045e-05,0.3695652173913043
7,Q3_1,0.00017526425,0.47391304347826085
8,upper_bound_1,0.000416185625,0.5565217391304348
9,lower_bound_1,-0.00022627137500000002,0.33043478260869563
