,Threshold,threshold,accuracy_value
0,Q1_0,3.6175e-05,0.44549763033175355
1,Q2_0,8.835e-05,0.4976303317535545
2,Q3_0,0.00034254775000000005,0.4928909952606635
3,upper_bound_0,0.0008021068750000001,0.5023696682464455
4,lower_bound_0,-0.00042338412500000005,0.46919431279620855
5,Q1_1,2.26e-05,0.43601895734597157
6,Q2_1,8.53e-05,0.4976303317535545
7,Q3_1,0.000282299,0.4928909952606635
8,upper_bound_1,0.0006718475000000001,0.5023696682464455
9,lower_bound_1,-0.00036694850000000003,0.46919431279620855
