,Threshold,threshold,accuracy_value
0,Q1_0,0.29883163625,0.34782608695652173
1,Q2_0,0.48825061150000004,0.4260869565217391
2,Q3_0,0.64848116425,0.5217391304347826
3,upper_bound_0,1.17295545625,0.6608695652173913
4,lower_bound_0,-0.2256426557500001,0.33043478260869563
5,Q1_1,0.19891346225,0.2956521739130435
6,Q2_1,0.327353655,0.3652173913043478
7,Q3_1,0.5042699257500001,0.4260869565217391
8,upper_bound_1,0.9623046210000001,0.6347826086956522
9,lower_bound_1,-0.25912123300000006,0.33043478260869563
