,Threshold,threshold,accuracy_value
0,Q1_0,3.275704089506176e-05,0.4928571428571429
1,Q2_0,7.000329066811905e-05,0.5642857142857143
2,Q3_0,0.00014218313126384999,0.6642857142857143
3,upper_bound_0,0.0003063222668170323,0.7214285714285714
4,lower_bound_0,-0.00013138209465812057,0.34285714285714286
5,Q1_1,4.974413391696838e-05,0.4857142857142857
6,Q2_1,0.00015177363186254998,0.6642857142857143
7,Q3_1,0.0004163169820928,0.7
8,upper_bound_1,0.0009661762543565474,0.6785714285714286
9,lower_bound_1,-0.0005001151383467791,0.34285714285714286
