,Threshold,threshold,accuracy_value
0,Q1_0,5.7684567233178355e-05,0.4590909090909091
1,Q2_0,0.0001594650205761,0.42272727272727273
2,Q3_0,0.00044204523533945004,0.43636363636363634
3,upper_bound_0,0.0010185862374988575,0.49318181818181817
4,lower_bound_0,-0.0005188564349262292,0.475
5,Q1_1,5.088358175248399e-05,0.45454545454545453
6,Q2_1,9.176204561042522e-05,0.45681818181818185
7,Q3_1,0.0002371238425925,0.42272727272727273
8,upper_bound_1,0.000516484233852524,0.4431818181818182
9,lower_bound_1,-0.00022847680950754005,0.475
